,V1,V2,V3,V4,V5,V6,V7
s,ce_radann_c,150.5287266,151.2158639,-34.33098426,-33.5020009,0.000277743,0.000277809
s,ct_tempann_c,150.5287266,151.2158639,-34.33098426,-33.5020009,0.000277743,0.000277809
s,ct_tempmtcp_c,150.5287266,151.2158639,-34.33098426,-33.5020009,0.000277743,0.000277809
s,ct_tempmtwp_c,150.5287266,151.2158639,-34.33098426,-33.5020009,0.000277743,0.000277809
s,cw_precipann_c,150.5287266,151.2158639,-34.33098426,-33.5020009,0.000277743,0.000277809
s,DEM_c,150.5287266,151.2158639,-34.33098426,-33.5020009,0.000277743,0.000277809
s,lf_cti_c,150.5287266,151.2158639,-34.33098426,-33.5020009,0.000277743,0.000277809
s,lf_rough1000_c,150.5287266,151.2158639,-34.33098426,-33.5020009,0.000277743,0.000277809
s,lf_slope_deg_c,150.5287266,151.2158639,-34.33098426,-33.5020009,0.000277743,0.000277809
s,vegetation_c,150.5287266,151.2158639,-34.33098426,-33.5020009,0.000277743,0.000277809
s,ce_radhp_c,150.52875,151.2159722,-34.33097222,-33.50208333,0.000277778,0.000277778
s,ce_radlp_c,150.52875,151.2159722,-34.33097222,-33.50208333,0.000277778,0.000277778
s,ct_frostdays_lt2deg_1_c,150.52875,151.2159722,-34.33097222,-33.50208333,0.000277778,0.000277778
s,ct_temp_maxsum_1_c,150.52875,151.2159722,-34.33097222,-33.50208333,0.000277778,0.000277778
s,ct_temp_maxwin_1_c,150.52875,151.2159722,-34.33097222,-33.50208333,0.000277778,0.000277778
s,ct_temp_minsum_1_c,150.52875,151.2159722,-34.33097222,-33.50208333,0.000277778,0.000277778
s,ct_temp_minwin_1_c,150.52875,151.2159722,-34.33097222,-33.50208333,0.000277778,0.000277778
s,ct_tempann_1_c,150.52875,151.2159722,-34.33097222,-33.50208333,0.000277778,0.000277778
s,ct_tempannrnge_1_c,150.52875,151.2159722,-34.33097222,-33.50208333,0.000277778,0.000277778
s,ct_tempdiurn_1_c,150.52875,151.2159722,-34.33097222,-33.50208333,0.000277778,0.000277778
s,ct_tempmtcp_1_c,150.52875,151.2159722,-34.33097222,-33.50208333,0.000277778,0.000277778
s,ct_tempmtwp_1_c,150.52875,151.2159722,-34.33097222,-33.50208333,0.000277778,0.000277778
s,ct_tempseas_1_c,150.52875,151.2159722,-34.33097222,-33.50208333,0.000277778,0.000277778
s,cw_etaaann_1_c,150.52875,151.2159722,-34.33097222,-33.50208333,0.000277778,0.000277778
s,cw_precipann_1_c,150.52875,151.2159722,-34.33097222,-33.50208333,0.000277778,0.000277778
s,dl_lat_grid_c,150.52875,151.2159722,-34.33097222,-33.50208333,0.000277778,0.000277778
s,dl_long_grid_c,150.52875,151.2159722,-34.33097222,-33.50208333,0.000277778,0.000277778
s,dl_strmdstge2_c,150.52875,151.2159722,-34.33097222,-33.50208333,0.000277778,0.000277778
s,dl_strmdstge4_c,150.52875,151.2159722,-34.33097222,-33.50208333,0.000277778,0.000277778
s,dl_strmdstge6_c,150.52875,151.2159722,-34.33097222,-33.50208333,0.000277778,0.000277778
s,lf_aspect_tr_c,150.52875,151.2159722,-34.33097222,-33.50208333,0.000277778,0.000277778
s,lf_rough0100_c,150.52875,151.2159722,-34.33097222,-33.50208333,0.000277778,0.000277778
s,lf_tpi0120_c,150.52875,151.2159722,-34.33097222,-33.50208333,0.000277778,0.000277778
s,lf_tpi0250_c,150.52875,151.2159722,-34.33097222,-33.50208333,0.000277778,0.000277778
s,lf_tpi0500_c,150.52875,151.2159722,-34.33097222,-33.50208333,0.000277778,0.000277778
s,lf_rough0500_c,150.52875,151.2159722,-34.33097222,-33.50208333,0.000277778,0.000277778
resolution,name,xmin,xmax,ymin,ymax,x_resolution,y_resolution